timekey,M1,M2,GDP,REAL_GDP,PERSONAL_INCOME,DISPOSABLE_INCOME,PCE,SAVING_RATE,UNEMPLOYMENT,NONFARM_PAYROLL,LABOR_FORCE,FED_FUNDS,TREASURY_3M,TREASURY_2Y,TREASURY_5Y,TREASURY_10Y,TREASURY_30Y,BBB_CORPORATE,CPI,CORE_CPI,PCE_INFLATION,INDUSTRIAL_PRODUCTION,RETAIL_SALES,HOUSE_PRICE_INDEX,M1_AVG,M2_AVG,GDP_AVG,REAL_GDP_AVG,PERSONAL_INCOME_AVG,DISPOSABLE_INCOME_AVG,PCE_AVG,SAVING_RATE_AVG,UNEMPLOYMENT_AVG,NONFARM_PAYROLL_AVG,LABOR_FORCE_AVG,FED_FUNDS_AVG,TREASURY_3M_AVG,TREASURY_2Y_AVG,TREASURY_5Y_AVG,TREASURY_10Y_AVG,TREASURY_30Y_AVG,BBB_CORPORATE_AVG,CPI_AVG,CORE_CPI_AVG,PCE_INFLATION_AVG,INDUSTRIAL_PRODUCTION_AVG,RETAIL_SALES_AVG,HOUSE_PRICE_INDEX_AVG
90,1196.1,5662.5,10984.04,14519.633,9197.1,10633.6,7391.5,5.8,5.7,130503.0,145552.0,1.75,1.57,1.72,2.63,3.63,4.88,7.39,180.8,191.3,76.681,90.6373,254081.0,124.781,1194.1,5632.366666666666,10984.04,14519.633,9176.633333333333,10625.866666666667,7397.133333333334,5.433333333333334,5.733333333333333,130556.0,145121.33333333334,1.74,1.67375,2.23875,3.359375,4.27234375,5.284375,7.63234375,180.4333333333333,190.96666666666667,76.539,90.61046666666668,256823.33333333334,123.83366666666666
91,1220.2,5779.5,11061.433,14537.58,9288.3,10719.9,7519.9,5.3,6.0,130465.0,145066.0,1.24,1.22,1.61,2.78,3.83,5.03,7.31,181.8,192.1,76.971,90.3906,259206.0,127.625,1211.2666666666667,5748.3,11061.433,14537.58,9258.9,10690.866666666667,7472.966666666667,5.5,5.866666666666667,130566.0,145140.33333333334,1.4433333333333334,1.3659677419354839,1.8896774193548387,3.0085483870967744,4.004838709677419,5.1654838709677415,7.601451612903226,181.5,191.83333333333334,76.89633333333335,90.56136666666667,257229.0,126.67733333333335
92,1239.3,5868.6,11174.129,14614.141,9333.8,10696.5,7611.5,4.9,5.9,130235.0,146022.0,1.25,1.14,1.51,2.78,3.83,5.07,6.87,183.9,192.5,77.725,91.0006,260566.0,130.148,1234.9333333333334,5843.099999999999,11174.129,14614.141,9306.699999999999,10693.633333333333,7567.133333333334,5.133333333333334,5.866666666666667,130416.33333333333,146019.66666666666,1.25,1.1747540983606557,1.649016393442623,2.9118032786885246,3.92,5.0644262295081965,7.119836065573771,183.36666666666667,192.46666666666667,77.484,91.12933333333335,259830.33333333334,129.32233333333332
93,1281.0,6002.4,11312.766,14743.567,9455.3,10860.6,7699.6,5.1,6.3,130185.0,147056.0,1.22,0.9,1.32,2.46,3.54,4.81,6.35,183.1,193.0,77.588,90.5196,265331.0,132.65,1266.6000000000001,5957.866666666666,11312.766,14743.567,9408.699999999999,10815.1,7661.466666666667,5.133333333333333,6.133333333333333,130184.33333333333,146676.66666666666,1.2466666666666668,1.0588888888888888,1.4215873015873017,2.57,3.6206349206349207,4.836190476190477,6.473809523809524,183.0666666666667,192.79999999999998,77.56166666666667,90.45023333333334,262699.3333333333,131.75699999999998
94,1297.2,6079.9,11566.669,14988.782,9582.5,10940.8,7853.7,4.9,6.1,130253.0,146530.0,1.01,0.95,1.5,2.85,3.96,5.07,6.53,185.1,193.7,78.323,91.3819,270212.0,136.295,1293.7,6078.866666666666,11566.669,14988.782,9537.633333333333,10999.533333333333,7820.933333333333,5.5,6.133333333333333,130196.66666666667,146486.66666666666,1.0166666666666666,0.9478125,1.67828125,3.138125,4.22765625,5.280625,6.803125,184.4333333333333,193.5666666666667,78.07266666666666,91.05403333333334,269502.3333333333,135.01333333333332
95,1306.2,6074.0,11772.234,15162.76,9713.2,11057.2,7950.4,5.0,5.7,130589.0,146729.0,0.98,0.95,1.84,3.25,4.27,5.23,6.61,185.5,194.2,78.605,92.1732,271550.0,140.181,1301.0333333333333,6073.3,11772.234,15162.76,9673.933333333334,11029.300000000001,7913.466666666667,5.0,5.833333333333333,130503.33333333333,146815.0,0.9966666666666667,0.9351612903225806,1.8562903225806453,3.2446774193548387,4.285161290322581,5.253709677419355,6.66258064516129,185.13333333333333,194.0666666666667,78.45666666666666,91.93486666666666,270257.0,138.83633333333333
96,1328.7,6158.0,11923.447,15248.68,9815.8,11115.6,8098.8,4.5,5.8,131139.0,146944.0,1.0,0.95,1.6,2.8,3.86,4.93,6.15,187.1,195.5,79.199,92.5368,279692.0,145.059,1318.7,6120.7,11923.447,15248.68,9771.0,11079.266666666668,8048.766666666666,4.566666666666666,5.7,130905.0,146831.66666666666,1.0033333333333332,0.9337096774193548,1.6866129032258064,2.980967741935484,4.01,5.028548387096774,6.2662903225806454,186.70000000000002,195.0,79.06166666666667,92.5877,275505.6666666667,143.29966666666667
97,1342.7,6278.1,12112.815,15366.85,9988.4,11215.8,8157.6,5.4,5.6,131794.0,147460.0,1.03,1.33,2.7,3.81,4.62,5.41,6.71,188.9,196.6,79.831,92.8651,279141.0,149.851,1336.2666666666667,6251.033333333333,12112.815,15366.85,9934.733333333332,11192.666666666666,8147.099999999999,5.033333333333334,5.599999999999999,131634.33333333334,147125.0,1.01,1.0961290322580644,2.4546774193548386,3.7209677419354836,4.597096774193548,5.419838709677419,6.661935483870968,188.16666666666666,196.23333333333335,79.59366666666666,93.1151,279349.0,148.21
98,1362.5,6352.3,12305.307,15512.619,10110.5,11279.6,8341.5,4.1,5.4,132091.0,147415.0,1.61,1.71,2.63,3.38,4.14,4.97,6.25,189.8,197.5,80.104,93.7353,286866.0,154.178,1352.5333333333333,6320.5,12305.307,15512.619,10073.9,11264.9,8283.333333333334,4.5,5.433333333333334,131961.33333333334,147557.0,1.4333333333333333,1.51390625,2.5565625,3.505625,4.30140625,5.1453125,6.4515625,189.36666666666667,197.0666666666667,79.985,93.63853333333333,283074.0,152.71699999999998
99,1376.0,6424.7,12527.214,15670.88,10520.8,11659.0,8504.4,6.2,5.4,132629.0,148059.0,2.16,2.22,3.08,3.63,4.24,4.86,6.1,191.7,198.6,80.801,95.5415,293401.0,159.329,1370.8333333333333,6403.7,12527.214,15670.88,10283.866666666667,11395.866666666667,8448.666666666666,4.5,5.433333333333334,132521.33333333334,148004.66666666666,1.95,2.0474193548387096,2.82241935483871,3.493709677419355,4.175806451612903,4.933548387096774,6.186129032258065,191.4,198.26666666666665,80.669,94.97083333333335,290260.0,157.535
